time_double, intakePosition_IntakePosition, count_int, state_AtomicInteger, wantStop_AtomicBoolean, stateLock_AtomicBoolean, currentState_ActionGroup, t_start_double, timing_list_Double
17.081, kUp, 1641, -1, true, false, null, 0.0, 4.9999999980343546E-6, 9.999999974752427E-7, 4.2000000000541604E-5, 1.6000000002236447E-5, 2.9000000001389026E-5, 0.0, 9.999999999621423E-6
17.091, kUp, 1642, -1, true, false, null, 0.0, 1.0000000010279564E-6, 0.0, 3.500000000045134E-5, 7.99999999756551E-6, 2.3000000002326715E-5, 1.0000000010279564E-6, 9.999999999621423E-6
17.101, kUp, 1643, -1, true, false, null, 0.0, 1.999999998503199E-6, 0.0, 2.1999999997746045E-5, 2.9999999995311555E-6, 1.100000000064938E-5, 0.0, 8.999999998593466E-6
17.111, kUp, 1644, -1, true, false, null, 0.0, 1.0000000010279564E-6, 1.0000000010279564E-6, 2.1000000000270802E-5, 3.000000003083869E-6, 1.2999999999152578E-5, 0.0, 7.000000000090267E-6
17.121, kUp, 1645, -1, true, false, null, 0.0, 9.999999974752427E-7, 1.0000000010279564E-6, 1.7999999997186933E-5, 2.9999999995311555E-6, 8.999999998593466E-6, 0.0, 5.000000001587068E-6
17.131, kUp, 1646, -1, true, false, null, 0.0, 1.999999998503199E-6, 9.999999974752427E-7, 2.200000000129876E-5, 2.9999999995311555E-6, 1.1999999998124622E-5, 1.0000000010279564E-6, 5.000000001587068E-6
17.142, kUp, 1647, -1, true, false, null, 0.0, 1.0000000010279564E-6, 1.0000000010279564E-6, 2.2999999998774E-5, 4.000000000559112E-6, 1.2000000001677336E-5, 9.999999974752427E-7, 7.000000000090267E-6
17.151, kUp, 1648, -1, true, false, null, 0.0, 1.0000000010279564E-6, 0.0, 1.8000000000739647E-5, 7.99999999756551E-6, 1.899999999821489E-5, 1.0000000010279564E-6, 1.4000000000180535E-5
17.162, kUp, 1649, -1, true, false, null, 0.0, 1.0000000010279564E-6, 1.0000000010279564E-6, 2.2999999998774E-5, 5.999999999062311E-6, 1.100000000064938E-5, 0.0, 4.000000000559112E-6
17.171, kUp, 1650, -1, true, false, null, 0.0, 0.0, 0.0, 1.5000000001208491E-5, 2.0000000020559128E-6, 1.100000000064938E-5, 0.0, 4.9999999980343546E-6
17.181, kUp, 1651, -1, true, false, null, 0.0, 1.0000000010279564E-6, 1.0000000010279564E-6, 1.8000000000739647E-5, 5.000000001587068E-6, 1.9000000001767603E-5, 0.0, 4.000000000559112E-6
17.192, kUp, 1652, -1, true, false, null, 0.0, 1.999999998503199E-6, 1.0000000010279564E-6, 2.5000000000829914E-5, 4.000000000559112E-6, 1.5000000001208491E-5, 0.0, 8.000000001118224E-6
17.202, kUp, 1653, -1, true, false, null, 0.0, 9.999999974752427E-7, 0.0, 2.9000000001389026E-5, 8.000000001118224E-6, 1.9000000001767603E-5, 9.999999974752427E-7, 8.000000001118224E-6
17.211, kUp, 1654, -1, true, false, null, 0.0, 0.0, 0.0, 1.9999999999242846E-5, 2.9999999995311555E-6, 1.100000000064938E-5, 0.0, 5.999999999062311E-6
17.221, kUp, 1655, -1, true, false, null, 0.0, 9.999999974752427E-7, 9.999999974752427E-7, 2.3999999999801958E-5, 2.9999999995311555E-6, 1.2000000001677336E-5, 0.0, 6.000000002615025E-6
17.232, kUp, 1656, -1, true, false, null, 0.0, 1.0000000010279564E-6, 0.0, 4.099999999951365E-5, 7.99999999756551E-6, 1.5000000001208491E-5, 0.0, 4.9999999980343546E-6
17.241, kUp, 1657, -1, true, false, null, 0.0, 1.999999998503199E-6, 0.0, 2.3000000002326715E-5, 4.000000000559112E-6, 1.699999999971169E-5, 1.0000000010279564E-6, 1.100000000064938E-5
17.252, kUp, 1658, -1, true, false, null, 0.0, 0.0, 0.0, 1.9000000001767603E-5, 4.000000000559112E-6, 1.5999999998683734E-5, 1.0000000010279564E-6, 7.99999999756551E-6
17.262, kUp, 1659, -1, true, false, null, 0.0, 0.0, 0.0, 1.8000000000739647E-5, 5.000000001587068E-6, 7.99999999756551E-6, 0.0, 4.000000000559112E-6
17.271, kUp, 1660, -1, true, false, null, 0.0, 0.0, 1.0000000010279564E-6, 1.2999999999152578E-5, 2.9999999995311555E-6, 8.000000001118224E-6, 0.0, 4.000000000559112E-6
17.281, kUp, 1661, -1, true, false, null, 0.0, 9.999999974752427E-7, 1.0000000010279564E-6, 1.699999999971169E-5, 2.0000000020559128E-6, 9.999999999621423E-6, 0.0, 5.000000001587068E-6
17.292, kUp, 1662, -1, true, false, null, 0.0, 1.0000000010279564E-6, 1.0000000010279564E-6, 3.0999999999892225E-5, 8.999999998593466E-6, 2.5000000000829914E-5, 0.0, 6.000000002615025E-6
17.302, kUp, 1663, -1, true, false, null, 0.0, 1.0000000010279564E-6, 9.999999974752427E-7, 3.300000000194814E-5, 7.99999999756551E-6, 1.4999999997655777E-5, 0.0, 5.999999999062311E-6
17.311, kUp, 1664, -1, true, false, null, 0.0, 0.0, 9.999999974752427E-7, 1.3000000002705292E-5, 5.999999999062311E-6, 2.1000000000270802E-5, 0.0, 9.00000000214618E-6
17.321, kUp, 1665, -1, true, false, null, 0.0, 9.999999974752427E-7, 0.0, 1.899999999821489E-5, 5.999999999062311E-6, 9.999999999621423E-6, 1.0000000010279564E-6, 4.000000000559112E-6
17.332, kUp, 1666, -1, true, false, null, 0.0, 0.0, 0.0, 1.8000000000739647E-5, 5.999999999062311E-6, 9.999999999621423E-6, 1.0000000010279564E-6, 4.000000000559112E-6
